name,width,height
Aaron_Peirsol_0003.jpg,301.0,301.0
Aaron_Sorkin_0001.jpg,298.0,298.0
Aaron_Sorkin_0002.jpg,299.0,299.0
Aaron_Tippin_0001.jpg,298.0,298.0
Abbas_Kiarostami_0001.jpg,300.0,300.0
Abba_Eban_0001.jpg,295.0,295.0
Abdel_Aziz_Al-Hakim_0001.jpg,307.0,307.0
Abdel_Madi_Shabneh_0001.jpg,301.0,301.0
Abdel_Nasser_Assidi_0001.jpg,300.0,300.0
Abdel_Nasser_Assidi_0002.jpg,319.0,319.0
Abdullah_0002.jpg,325.0,325.0
Abdullah_0004.jpg,298.0,298.0
Abdullah_Ahmad_Badawi_0001.jpg,301.0,301.0
Abdullah_Gul_0001.jpg,296.0,296.0
Abdullah_Gul_0002.jpg,299.0,299.0
Abdullah_Gul_0003.jpg,310.0,310.0
Abdullah_Gul_0004.jpg,309.0,309.0
Abdullah_Gul_0007.jpg,295.0,295.0
Abdullah_Gul_0008.jpg,299.0,299.0
Abdullah_Gul_0009.jpg,311.0,311.0
Abdullah_Gul_0010.jpg,309.0,309.0
Abdullah_Gul_0011.jpg,298.0,298.0
Abdullah_Gul_0012.jpg,294.0,294.0
Abdullah_Gul_0013.jpg,296.0,296.0
Abdullah_Gul_0016.jpg,295.0,295.0
Abdullah_Gul_0017.jpg,289.0,289.0
Abdullah_Gul_0018.jpg,298.0,298.0
Abdullah_Gul_0019.jpg,311.0,311.0
Abdullah_Nasseef_0001.jpg,296.0,296.0
Abdullatif_Sener_0002.jpg,302.0,302.0
Abdul_Majeed_Shobokshi_0001.jpg,307.0,307.0
Abdul_Rahman_0001.jpg,297.0,297.0
Abel_Pacheco_0004.jpg,296.0,296.0
Abner_Martinez_0001.jpg,305.0,305.0
Aby_Har-Even_0001.jpg,298.0,298.0
Adam_Herbert_0001.jpg,308.0,308.0
Adam_Mair_0001.jpg,301.0,301.0
Adam_Rich_0001.jpg,291.0,291.0
Adam_Scott_0002.jpg,297.0,297.0
Adelina_Avila_0001.jpg,294.0,294.0
Adel_Al-Jubeir_0001.jpg,292.0,292.0
Adel_Al-Jubeir_0003.jpg,291.0,291.0
Adolfo_Aguilar_Zinser_0001.jpg,295.0,295.0
Adolfo_Aguilar_Zinser_0002.jpg,296.0,296.0
Adolfo_Rodriguez_Saa_0001.jpg,309.0,309.0
Adolfo_Rodriguez_Saa_0002.jpg,301.0,301.0
